Year of study,Age,parents politics,self politics,religiousness,gender,doctor gf,not walking daughter down aisle,split rent with gf,paying step daughters private school,lost cat,poorly behaved niece,not helping sister with kids on flight,misusing child support,ensuring fair child support amount,paying for kids college,mother-in-laws boyfriend,donating to LGBTQ org,not drinking wife pregnant,bridesmaid sister hair
Junior,20,Mildly liberal,Mildly liberal,Not spiritual at all,Male,Not a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Strongly a jerk
Senior,21,Mildly conservative,Mildly liberal,Not spiritual at all,Non-binary / other,Mildly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Strongly a jerk,Strongly a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk
Junior,20,Mildly conservative,Mildly liberal,Not spiritual at all,Male,Mildly a jerk,Not a jerk,Strongly a jerk,Strongly a jerk,Not a jerk,Not a jerk,Strongly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Strongly a jerk,Mildly a jerk,Strongly a jerk,Strongly a jerk
Sophmore,19,Mildly conservative,Mildly conservative,Strongly spiritual,Male,Mildly a jerk,Mildly a jerk,Strongly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Strongly a jerk,Not a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Strongly a jerk,Strongly a jerk,Not a jerk
Senior,21,Strongly liberal,Strongly liberal,Not spiritual at all,Male,Not a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Strongly a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Strongly a jerk
Junior,20,Neutral,Neutral,Somewhat spiritual,Male,Not a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Strongly a jerk
Junior,19,Neutral,Neutral,Strongly spiritual,Male,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Strongly a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Strongly a jerk
Junior,20,Mildly conservative,Mildly liberal,Not spiritual at all,Male,Mildly a jerk,Strongly a jerk,Mildly a jerk,Strongly a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Not a jerk,Mildly a jerk,Strongly a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Not a jerk
Junior,20,Don't know / It's complicated,Don't know / It's complicated,Strongly spiritual,Prefer not to say,Not a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Strongly a jerk,Not a jerk,Strongly a jerk,Strongly a jerk,Not a jerk,Strongly a jerk,Strongly a jerk,Mildly a jerk
Junior,20,Mildly conservative,Mildly conservative,Strongly spiritual,Male,Not a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Strongly a jerk,Not a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Strongly a jerk
Senior,21,Strongly conservative,Mildly liberal,Not spiritual at all,Male,Strongly a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Strongly a jerk,Mildly a jerk,Mildly a jerk,Mildly a jerk,Strongly a jerk
Sophmore,19,Mildly conservative,Mildly liberal,Not spiritual at all,Male,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Strongly a jerk
Junior,21,Neutral,Mildly liberal,Not spiritual at all,Male,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Strongly a jerk,Not a jerk,Mildly a jerk,Not a jerk,Strongly a jerk
Senior,21,Strongly conservative,Strongly liberal,Not spiritual at all,Female,Not a jerk,Not a jerk,Strongly a jerk,Strongly a jerk,Strongly a jerk,Not a jerk,Not a jerk,Strongly a jerk,Strongly a jerk,Strongly a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Strongly a jerk
Junior,20,Mildly conservative,Strongly liberal,Somewhat spiritual,Non-binary / other,Not a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Strongly a jerk,Not a jerk,Strongly a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Strongly a jerk,Strongly a jerk
Senior,21,Don't know / It's complicated,Strongly liberal,Not spiritual at all,Female,Not a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Strongly a jerk,Not a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk
